Date,Happiness
2/5/2018,4
2/6/2018,5
2/7/2018,4
2/8/2018,3
2/9/2018,4
2/10/2018,3
2/11/2018,3
2/12/2018,5
2/13/2018,5
2/14/2018,0
2/15/2018,5
2/16/2018,3
2/17/2018,5
2/18/2018,3
2/19/2018,3
2/20/2018,4
2/21/2018,4
2/22/2018,5
2/23/2018,4
2/24/2018,5
2/25/2018,4
2/26/2018,3
2/27/2018,7
2/28/2018,5
3/1/2018,3
3/2/2018,4
3/3/2018,4
3/4/2018,4
3/5/2018,3
3/6/2018,4
3/7/2018,4
3/8/2018,4
3/9/2018,3
3/10/2018,4
3/11/2018,8
3/12/2018,7
3/13/2018,6
3/14/2018,5
3/15/2018,6
3/16/2018,7
3/17/2018,3
3/18/2018,3
3/19/2018,9
3/20/2018,10
3/21/2018,7
3/22/2018,6
3/23/2018,7
3/24/2018,6
3/25/2018,7
3/26/2018,7
3/27/2018,5
3/28/2018,8
3/29/2018,4
3/30/2018,4
3/31/2018,6
4/1/2018,6
4/2/2018,6
4/3/2018,7
4/4/2018,6
4/5/2018,6
4/6/2018,4
4/7/2018,6
4/8/2018,6
4/9/2018,7
4/10/2018,6
4/11/2018,7
4/12/2018,5
4/13/2018,10
4/14/2018,4
4/15/2018,3
4/16/2018,4
4/17/2018,5
4/18/2018,5
4/19/2018,7
4/20/2018,7
4/21/2018,5
4/22/2018,0
4/23/2018,8
4/24/2018,7
4/25/2018,
4/26/2018,5
4/27/2018,7
4/28/2018,5
4/29/2018,4
4/30/2018,4
5/1/2018,4
5/2/2018,4
5/3/2018,3
5/4/2018,3
5/5/2018,3
5/6/2018,3
5/7/2018,3
5/8/2018,3
5/9/2018,4
5/10/2018,5
5/11/2018,4
5/12/2018,5
5/13/2018,5
5/14/2018,4
5/15/2018,4
5/16/2018,8
5/17/2018,4
5/18/2018,5
5/19/2018,6
5/20/2018,5
5/21/2018,6
5/22/2018,5
5/23/2018,3
5/24/2018,4
5/25/2018,2
5/26/2018,7
5/27/2018,5
5/28/2018,6
5/29/2018,5
5/30/2018,7
5/31/2018,6
6/1/2018,15
6/2/2018,6
6/3/2018,10
6/4/2018,8
6/5/2018,9
6/6/2018,6
6/7/2018,8
6/8/2018,3
6/9/2018,4
6/10/2018,4
6/11/2018,4
6/12/2018,4
6/13/2018,6
6/14/2018,4
6/15/2018,5
6/16/2018,5
6/17/2018,5
6/18/2018,6
6/19/2018,6
6/20/2018,5
6/21/2018,6
6/22/2018,5
6/23/2018,5
6/24/2018,6
6/25/2018,4
6/26/2018,5
6/27/2018,3
6/28/2018,4
6/29/2018,3
6/30/2018,4
7/1/2018,0
7/2/2018,4
7/3/2018,4
7/4/2018,5
7/5/2018,4
7/6/2018,3
7/7/2018,4
7/8/2018,4
7/9/2018,2
7/10/2018,3
7/11/2018,4
7/12/2018,5
7/13/2018,5
7/14/2018,3
7/15/2018,3
7/16/2018,3
7/17/2018,4
7/18/2018,3
7/19/2018,6
7/20/2018,5
7/21/2018,4
7/22/2018,4
7/23/2018,3
7/24/2018,4
7/25/2018,4
7/26/2018,4
7/27/2018,4
7/28/2018,5
7/29/2018,3
7/30/2018,4
7/31/2018,3
8/1/2018,6
8/2/2018,7
8/3/2018,5
8/4/2018,6
8/5/2018,5
8/6/2018,6
8/7/2018,3
8/8/2018,4
